ID,ORDERID,PAYMENTMETHOD,STATUS,AMOUNT,CREATED,_BATCHED_AT
51,42,coupon,success,1700,2018-02-16,2024-09-11 02:56:25.370 -0700
52,43,gift_card,success,1800,2018-02-17,2024-09-11 02:56:25.370 -0700
53,44,gift_card,success,1100,2018-02-17,2024-09-11 02:56:25.370 -0700
54,45,bank_transfer,success,500,2018-02-17,2024-09-11 02:56:25.370 -0700
55,46,bank_transfer,success,800,2018-02-19,2024-09-11 02:56:25.370 -0700
56,47,credit_card,success,2200,2018-02-20,2024-09-11 02:56:25.370 -0700
57,48,bank_transfer,success,300,2018-02-21,2024-09-11 02:56:25.370 -0700
58,49,bank_transfer,fail,600,2018-02-21,2024-09-11 02:56:25.370 -0700
59,49,credit_card,success,600,2018-02-21,2024-09-11 02:56:25.370 -0700
60,49,credit_card,success,900,2018-02-21,2024-09-11 02:56:25.370 -0700
61,50,credit_card,success,2600,2018-02-23,2024-09-11 02:56:25.370 -0700
62,51,credit_card,success,2900,2018-02-24,2024-09-11 02:56:25.370 -0700
63,51,credit_card,success,100,2018-02-24,2024-09-11 02:56:25.370 -0700
64,52,bank_transfer,success,1500,2018-02-25,2024-09-11 02:56:25.370 -0700
65,53,credit_card,success,300,2018-02-26,2024-09-11 02:56:25.370 -0700
66,54,credit_card,success,1800,2018-02-26,2024-09-11 02:56:25.370 -0700
67,54,bank_transfer,success,1100,2018-02-26,2024-09-11 02:56:25.370 -0700
68,55,credit_card,success,2900,2018-02-27,2024-09-11 02:56:25.370 -0700
69,56,credit_card,success,400,2018-02-28,2024-09-11 02:56:25.370 -0700
70,57,bank_transfer,success,200,2018-03-01,2024-09-11 02:56:25.370 -0700
71,58,coupon,fail,1800,2018-03-01,2024-09-11 02:56:25.370 -0700
72,58,coupon,success,1800,2018-03-01,2024-09-11 02:56:25.370 -0700
73,58,gift_card,success,600,2018-03-01,2024-09-11 02:56:25.370 -0700
74,59,gift_card,success,2800,2018-03-02,2024-09-11 02:56:25.370 -0700
75,60,credit_card,success,400,2018-03-03,2024-09-11 02:56:25.370 -0700
76,61,bank_transfer,success,1600,2018-03-03,2024-09-11 02:56:25.370 -0700
77,62,gift_card,success,1400,2018-03-05,2024-09-11 02:56:25.370 -0700
78,63,credit_card,success,2900,2018-03-06,2024-09-11 02:56:25.370 -0700
79,64,bank_transfer,success,2600,2018-03-07,2024-09-11 02:56:25.370 -0700
80,65,credit_card,success,0,2018-03-08,2024-09-11 02:56:25.370 -0700
81,66,credit_card,success,2800,2018-03-10,2024-09-11 02:56:25.370 -0700
82,67,bank_transfer,success,400,2018-03-11,2024-09-11 02:56:25.370 -0700
83,67,credit_card,success,1900,2018-03-11,2024-09-11 02:56:25.370 -0700
84,68,credit_card,success,1600,2018-03-11,2024-09-11 02:56:25.370 -0700
85,69,credit_card,success,1900,2018-03-11,2024-09-11 02:56:25.370 -0700
86,70,credit_card,success,2600,2018-03-12,2024-09-11 02:56:25.370 -0700
87,71,credit_card,success,500,2018-03-12,2024-09-11 02:56:25.370 -0700
88,72,credit_card,success,2900,2018-03-14,2024-09-11 02:56:25.370 -0700
89,73,bank_transfer,success,300,2018-03-16,2024-09-11 02:56:25.370 -0700
90,74,credit_card,success,3000,2018-03-17,2024-09-11 02:56:25.370 -0700
91,75,credit_card,success,1900,2018-03-18,2024-09-11 02:56:25.370 -0700
92,76,coupon,success,200,2018-03-20,2024-09-11 02:56:25.370 -0700
93,77,credit_card,success,0,2018-03-21,2024-09-11 02:56:25.370 -0700
94,77,bank_transfer,success,1900,2018-03-21,2024-09-11 02:56:25.370 -0700
95,78,bank_transfer,success,2600,2018-03-23,2024-09-11 02:56:25.370 -0700
96,79,credit_card,success,1800,2018-03-23,2024-09-11 02:56:25.370 -0700
97,79,credit_card,success,900,2018-03-23,2024-09-11 02:56:25.370 -0700
98,80,gift_card,success,300,2018-03-23,2024-09-11 02:56:25.370 -0700
99,81,coupon,success,200,2018-03-23,2024-09-11 02:56:25.370 -0700
100,82,credit_card,success,800,2018-03-24,2024-09-11 02:56:25.370 -0700
101,83,credit_card,success,100,2018-03-24,2024-09-11 02:56:25.370 -0700
102,84,bank_transfer,success,2500,2018-03-26,2024-09-11 02:56:25.370 -0700
103,85,bank_transfer,success,1700,2018-03-26,2024-09-11 02:56:25.370 -0700
104,86,coupon,success,2300,2018-03-26,2024-09-11 02:56:25.370 -0700
105,87,gift_card,success,3000,2018-03-27,2024-09-11 02:56:25.370 -0700
106,87,credit_card,success,2600,2018-03-27,2024-09-11 02:56:25.370 -0700
107,88,credit_card,success,2900,2018-03-27,2024-09-11 02:56:25.370 -0700
108,89,bank_transfer,success,2200,2018-03-28,2024-09-11 02:56:25.370 -0700
109,90,bank_transfer,success,200,2018-03-30,2024-09-11 02:56:25.370 -0700
110,91,credit_card,success,1900,2018-03-31,2024-09-11 02:56:25.370 -0700
111,92,bank_transfer,success,1500,2018-04-02,2024-09-11 02:56:25.370 -0700
112,92,coupon,success,200,2018-04-02,2024-09-11 02:56:25.370 -0700
113,93,gift_card,success,2600,2018-04-03,2024-09-11 02:56:25.370 -0700
114,94,gift_card,fail,700,2018-04-03,2024-09-11 02:56:25.370 -0700
115,94,coupon,success,700,2018-04-03,2024-09-11 02:56:25.370 -0700
116,95,coupon,success,2400,2018-04-04,2024-09-11 02:56:25.370 -0700
117,96,gift_card,success,1700,2018-04-06,2024-09-11 02:56:25.370 -0700
118,97,bank_transfer,success,1400,2018-04-07,2024-09-11 02:56:25.370 -0700
119,98,bank_transfer,success,1000,2018-04-07,2024-09-11 02:56:25.370 -0700
120,99,credit_card,success,2400,2018-04-09,2024-09-11 02:56:25.370 -0700
